날짜,리뷰 제목,리뷰 내용
"03 14, 2020",This RAV4 is very clean perfect engine cold A/c,"Toyota 4cylinders Gas saver perfect suspension .
My price is one of the best on the market.  Very well maintained clean tires. 
Can take the best offer"
"03 13, 2020",EXCELLENT VEHICLE,The Rav4 is perfect vehicle for every situation. It's the last V6 you can find in a compact SUV and definitely has more power. I compared it to the Forester XT before buying but it wasn't even close. Very comfortable and gets around in the mud and off-road great.
"02 15, 2020",Very nice vehicle!,This vehicle was purchase for my granddaughter. She in College at Purdue University. 4 cylinder engine which is awesome on gas. She loves it and all for friends enjoy it too.
"01 29, 2020",I fell in love with the car as soon as i tested it,I love it! Absolutely one of the best cars I've ever own.  I've only had it for a few days but i cam tell it will last me for years with minimal issues
"01  6, 2020",This car  was a perfect car i ever have,This is a nice car drive smooth and clean inside outside no issue and nice interior design it sunroof backup camera the car is perfect condition
"12 18, 2019",Great car!!!,Starts right up. I have not had any problems with the car. Great condition on the inside and out. Lot more room then I thought it would have. Lots of storage areas as well. Will buy from Carvana again as well.
"12 16, 2019",Love our RAV4,"Comfortable and efficient. The only thing we don't like is that the back door does not have a lock on it. Toyota has not been willing to install a lock. When the battery died in a public parking lot, a maintenance person put a charger on reversed and fried the electrical system. We could not lock the rear hatch. Other than this one design flaw, we love the RAV4."
"12  5, 2019",best reliable car i owened,"IT HAS PLENTY OF LEG ROOMS,3rd row with extra seat( it can be fold). The 2010 Toyota RAV4 ranks near the top of the compact SUV class. It offers a comfortable interior, a pleasant ride, loads of cargo space, plus good safety and reliability ratings."
"11 21, 2019",Drove nice,Overall good riding car just wasn't for me. I was looking for more features then what this vehicle had it was a basic model. Had excellent milage for the year it was.
"11  4, 2019",Same oil leak over and over,I felt Rav had a great reputation so I bought one. I had problem after problem with it and wouldn't recommend. I kept having a seal go on it and leaking oil.  The ride wasn't that good. I owned it for about 4 years.
"10 27, 2019",It’s Toyota RAV4 speak its self,If all cars could let you down touts rav4 will never . Electronically mechanical it’s amazingly made so tough to cross over 200k on mileage yet they still strong and for sure they still hold their price value price that they are an amazing cars and well made
"10 18, 2019",Very satisfied with this car and plan to keep it.,This car is perfect for my needs. I primarily use it to drive to work and visiting family. I am very satisfied with the car's performance and value.
"08 26, 2019",Made all plastic paint pulling off makes nose like,I wished I never bought it's been nothing but trouble taken in for recall something about key intion horn never worked since paint pulling of
"07 25, 2019",Meets our Needs,"We specifically wanted a RAV4 with a V6 engine, which was discontinued in 2012. The engine has a lot of punch, which gives you confidence in passing and crossing mountain passes. This car also has ample cargo space and a roof rack that we will probably use to transport kayaks. We will be keeping this car in our vacation home in Idaho. We have owned several Toyotas over the years (including 2 other RAV4's) and love that they are so reliable and durable!"
"06 25, 2019",Everything you'd expect from a Toyota,"The Rav4 is a great little suv. Runs smooth and has great power with the v6. This is our 2nd Rav4 with the v6 and the first one ran just as strong and smooth at 140,000 as it did the day we bought it. Did a great job of keeping us going last year during a snow storm of  8"" to 10"" in northern Minnesota."
"04  2, 2019",Great car!,This is the high end model and I love it. Was in good condition. Had a flat but also had a full size spare in great comfy.
"04  1, 2019",Very satisfied so far.  Only drove it for one day.,So far it is just great.  You sent this to me too early in the purchase.  I would suggest you wait at least a week before sending out reviews.
"03 27, 2019",I've owned a Rav for 5 yrs ... still in love,"I bought my Rav in 2014, it had 97,000kms at the time. It's currently got 230,000kms and still going strong af. I love the styling of the Rav... it's functional as well as being pretty modern ...for it's age. I get an everage i  the summer of 9.4 l/100km and in the winter it's about 10.3(Tires totally a factor). I drive 25 mins each way to work on a highway, averaging 110 km/h. I'm lucky that I have the 2.5L Base, AWD ...it's basic but still rocks in the snow and ice. I've outfitted it with a set of 16"" Gislaved Nord Frost for the winter and have always run Toyo 17""in the summer. I use only synthetic oil now for high mileage vehicles and have treated her to a oxygen sensor clean each summer as well. Having a little suspension issue now but given the KMs and our absolute xxxxe roads in Nova Scotia, it's to be expected. I have 2 kids and the space inside is more than ample for 2 car seats and all our gear.  Paint and interior have held up AMAZINGLY well for what we put it through .. .. I even use it to haul wood for the woodstove, both towed with a trailer and loads in the cargo area when super snowy and the wheelbarrow won't do. Having the diff lock is one of the main reasons I bought the Rav over the CRV, Forester and all other competitors. I've been in a ton of situations where it's been a blessing. Remember, 4 low or diff lock isn't meant to get you in ... it's meant to get you out! Cheers!"
"03 26, 2019",It is the most reliable car I have owned,"It has never given me any issues, all the maintenance it needed was the regular synthetic oil change (my preference of oil) and filters but that's about it, I had never had to take it to the mechanic for any issues, all i had to do was change the battery but that's about it. Very reliable, it drives smoothly and very comfortable."
"03 13, 2019",Great  SUV,"2010Toyota RAV4. 4WD 4-Speed Automatic 2.5L 4-Cylinder DOHC Dual VVT-i21/27 City/Highway MPGAwards: * 2011 KBB.com 10 Best Used Family Cars Under $15,000 * If you want a small-to-mid-size sport utility vehicle that combines car-like performance, ride, handling and fuel economy with available four-wheel drive and room for up to seven passengers, or five adults and a fair amount of cargo, the 2010 Toyota RAV4 is a good choice. Superb power yet great fuel economy from optional V4; huge cargo space with flat load floor and low load height; comfortable ride; responsive handling."
"03  3, 2019",Most reliable car I've owned,"Purchased this car new for my wife.  Has basically been bullet proof with very little need for mechanical repairs.  It's understandable why these cars routinely exceed 200,000 miles and more in their lifetime."
"02 11, 2019",My favorite vehicle I have ever had,My favorite vehicle I have ever had. I had an after market radio installed in the vehicle when I bought it and everyone is very impressed with the car and it is a comfortable ride.
"02  9, 2019",Great price for a reliable car with upgrades.,Meets all of the expectations of a Toyota. It is perfect for my needs. Sunroof and rear camera unexpected features. Great performance and value. The Toyota dealership told me I got a great deal.
"01 26, 2019",Good buy. A limited edition with very low miles!!,Sporty & luxury. Good back end space with rubber mat a must! Leg room comfortable & room for child's car seat  Has a nice v6 vroom to it!
"01  8, 2019",Love it!,I love this vehicle.  2nd RAV4 that I’ve owned and I’m really happy with it.  Handles well in poor weather which is frequent in MN. Great size as well.
"12  9, 2018",extremely reliabal v6 2wd handles like sports car,I bought car used with 20000 miles it now has 50000. I love it I am going to keep this car as long as possible
"11 30, 2018",Will NEVER buy a toyota again,"I bought a brand new 2010 RAV4, lovingly cared for and pampered this car.  However, even with great maintenace this car turned out to be a nightmare.  This car was recalled so many times, i just stacked the notices, then when i incured obvious rear end problems like leaking seals and slipping differential,  the dealer wanted $105. to inspect the recall, nice.  Then in 2018 noticed gas mileage decreasing and a strange noise and vibration, after investigating it at 130,000. miles found out the torque converter and lockup clutch was bad.  Decided to get rid of it before it got any worse.  When looking for a different car, many dealorships without even looking or drving my car for trade in, said they wouldnt touch my car with a 10 foot pole because of known transmission problems with that brand and car.  So got lucky one day and traded it in to a busy chevy dealorship that never drove the car and only received 8100 on a chevy truck.  Needless to say, I will never own or buy a toyota again!!!!!!"
"10 28, 2018","Extremely reliable, versatile midsize SUV","Bought new. 218,000 miles so far and no service issues. Comfortable. 23mpg. Enough space to be useful or hold 5 adults.  Quick but not powerful. Nice handling for an SUV. 
One negative - the 4WD is only engaged under 25mph."
"10 23, 2018",Awesome awd suv!,I absolutely love this rav 4 for getting around in the harsh winters and it gets great gas mileage for our traveling adventures. It also has a good amount of space in the back to pack things in!
"10 23, 2018","100,000 miles of reliability","We have 100,000 miles on our 4 wheel drive V6 RAV4. I really love this car. The only problem it has/had is that we noticed a small leak under the engine two years ago. My mechanic said it was the rear main engine seal, and would cost $3000 to fix. We decided we could live with a minor weeping seal, which was his recommendation. It stopped leaking not long after. All fluid levels are normal, so I consider it a non-issue. Now to the positives: You can sleep in the back, as long as you put a small board down to cover the 3 inch gap. When loaded up with 4 people including climbing and camping gear it will go 80 miles an hour uphill all day long. We drive from Seattle to LA every xmas and that thing is a little sports car. It's fantastic in the snow...though that may be due more to the 4 studded snow tires. The seats feel great, even though we have the simple ones. Inside of the car is plastic...but so what? It works. Nothing has broken in 8 years. It has the original starter, water pump, radiator, alternator, everything.  I've had to do brakes of course. We love Toyotas. I've got a 2004 tacoma with 240k on the original engine and clutch! And we have a 1991 Corolla that has 365,000 on the original engine and transmission. It's the unkillable car. I just put on the third radiator. 4th gear on the Corolla  doesn't work anymore, but 4th is over rated. We go straight to 5th."
"09 23, 2018",Never see a Toyota on the side of the road,This was my first car that I actually purchased it was very great to me and my kids very low maintenance required on it great on gas it was very dependable when I finally traded it in it had over a hundred and fifteen thousand miles but it was still running so great and I really didn't want to trade it in because I loved it
"08 12, 2018",Most reliable car in the planet.,"Overall, I just feel in love with this car. I really like the exterior style designed and safety features as described. It's an eye-catching car on the roads. Love it!!! :)"
"08  8, 2018",I love the V6 269HP Limited,"It will run..I mean top speed 135 maybe more.
And real quick 50 to 80mph in a flash.
Ill say more after i tow my 5x8 bike trailer this weekend. IM GOING To lift mine and add skid plates from front to back .Then keep it forever."
"07 25, 2018",This v6 limited Rav 4 will run .130MPH PLUSE,"Its all about the 269hpV6 for me..This Rav is the quickest thing i ever owned.It goes ftom 50 to 80 in seconds..Goes good in snow wet grass dirt and with the right tires even mud..My stero sounds really good its the JBL..It came with a sub in the rear hatch door.
I was going to add one but decided i didn't need it.
I added a hitch and can tow 3500lbs if i want to.
I found a 2 inch coil spring lift from Deaver im going to put on.It will give me 3 1/2 more inches of space between the finder n tire so i can go up 3 or 4 sizes if i want..Pluse they will make the rear spring extra heavy duty and add 500lbs of hauling n towing capacity. 
I live in WV.Lots of hills n mountains. Completely loaded i can go as fast as i want up any hill with more then enough power to pass anything in my way..
I cant say enough good things about my rav. 
I run it really hard up n down hills n mountains loaded going to my camp in the mountains getting over 20mpg..If someone else would drive it would get 25mph or more..Im so happy i picked my Rav 4 over a jeep wrangler."
"07 21, 2018",The best small family car,My wife and I love this car. We haven't had any issue after owning in for 4 years and putting on 90K miles. The only way we ever get rid of it is if our family outgrows it
"07 20, 2018",Very smooth drive,Spacios the trunk and seats good power stroke over hills very reability comforth to the passenger and kids very stabiler automobile good suspension make sure for stop good driving over freeway in city too
"06 22, 2018",Get the RAV4,"I got a used 2010 rav4 limited with 80k miles on it for $11,700 after talking them down & its a really comfortable and smooth ride.  Its a nice looking vehicle, got a lot of compliments on it. I love the look of it. Perfect size for an SUV.  Easy to pull in & out of tight parking, great turning radius. Cant beat the 4WD either.  4WD is way better than AWD and getting harder to find.  I test drove other suv's; dodge journey & ford edge since I have an 04' Xterra that was just totaled & i wouldnt settle until i found another 4WD & the rav4 outbeat them by far. Never thought i would like another suv as much as my Xterra. It actually gets up speed pulling out & going uphills way quicker than my xterra did & that was a 6cylinder so that was a surprise. Plenty of cargo space & it has another hidden cubby for even more space in the back and the back seats recline individually for passenger comfort which is pretty cool. It also has push buttons to put the back seats down for even more cargo space. Great on gas and it gets up and goes really quick for a 4cylinder.  Really roomy inside. Glad I went with the rav4 especially after reading thru 100's of reviews & reading all about the other engine & trans issues on other suv's until my eyes burned outta my head & test driving the other junk.  My neighbor tried buying it from me the day after i brought it home b/c he liked it so much. He ended up finding the exact same one in the same color and all for his wife with 60k miles on it so now we have matching cars...smh.  get the rav4 if you're having trouble deciding."
"06  9, 2018",Reliability and Comfort,I have had the Toyota Rav4 2010 for 5 years and never experienced any issues! Bought it used with very high milage and even so only regular maintenance and care is all it needs to continue for many more years. It has come in handy to carry furniture and large amounts of boxes/merchandise. Very spacious and comfortable. Surprisingly large leg room in the back seats. No complaints!
"06  1, 2018","Fuel efficient, Reliable SUV","We've owned this vehicle about 5yrs and its been a tank during this time, pretty much just the basic maintence, add gas and go. Even though its a fwd version, feels equally competent in the snow.

Even though its the base model, and is a few years old still looks stylish for its age and rides well."
"05 30, 2018",This Vehicle is CHERRY!,"Vehicle has all 3 controls ( Steering, Gas and break )on both left and right of car. Vehicle could be used for mail deliveries or driving instructor! Or car could be converted back to regular vehicle."
"05 29, 2018",Same like hinds,Small size engine. Beautiful looking and Drive sweet.  The price was also very great and I bought it at end of the month so the deal was supper. I am saving gas now
"05 28, 2018",Great Dependable Car,"We  love our Toyota Rav 4.It is super dependable, it has tons of room, and very stylish. Would not trade it for anything. best thing of all is every SUV out there looks the same except the Rav4"
"05 14, 2018",Awesome Handling,Met and surpassed my needs. It has  all the space I need for transporting kids and all the features I wanted also.A delight to drive.
"05  4, 2018",Perfect Car,"Love this car. It has been so reliable. No major mechanical problems just routine things like oil changes, brakes, and tires. The 4WD is great in the winter months. Plenty of room for me and my two sons. I love this car."
"04 26, 2018",Love Toyota!,"Though I just bought my Toyota Rav4 had to avoid highways back to work, but the construction was crazy! My Toyota handled like a pro, the roads were torn up and in some cases only dirt with holes to avoid, Escaped a Cement Truck that didn't have a spotter, and the general drivers strattling to get around you. Handled great, can't wait to take her on a road trip with weekend!!!"
"04  9, 2018",I am very happy with my car,I have no complaints with my car. I enjoy driving it. It gives a nice ride. Solid car and comfortable. It has always been dependable. Would buy another one.
"04  4, 2018",Great winter and Beach car!,"I bought it used in 2014 with only 19K miles, Limited Edition and fell in love.   More comfortable than my 1998 Subaru Forester on the road ( was a very reliable vehicle That I sold to my mechanic with @170K once repairs got expensive).  Color is Blizzard White Pearl  which is so  safe color for night driving but a pain to 
match  if  you want to fill in chips yourself.  Gas mileage average is 21 mpg but they are more efficient now and the ugly spare tire cover is gone which has to be hand washed due to nooks and crannies.   I like the trunk door that opens sideways vs over your head.  Only issue is city parking that doesn?t always allow to open it completely.   Suspension and visibility is excellent. Has a small 2? by 2? backup camera in the rear view mirror.  Radio and speakers are great with optional subscription to Sirius and 6 CD player.  Heated leather seats are an asset in the cold winter months.   Fits a lot of beach gear and other bulky items.    Steering wheel has Bluetooth and radio controls to reduce distractions!   Very good safety ratings."
"03 31, 2018",hard on gas very noisy,Always wanted one as time went by got to hate this rav4 rough ride bangs over bumps wind noise on the highway is terrible it is just poor ride quality won't buy another
"03 12, 2018",Toyota is basically another name for reliability.,"I am generally not a person that likes to own a vehicle identical to what everyone else has. Obviously there are so many Rav4's on the road that it was excellent to be able to purchase a limited edition model that you do not see a lot of on the road. Mine was the Rav4 Sport with the AWD, V6, and Sport Appearance Package. This package had to be custom ordered from the dealer because the sport appearance did not come with the V6 AWD. I had a Subaru WRX and when I moved to the Rav4 as a more family oriented SUV, a little bigger, I was happy I did not lose power. The 270hp engine is super punchy and makes this vehicle like no other. Never had a single problem with it after 8 years of ownership. No check engine lights, no sensor failures, no nothing. Just the best in reliability I have ever owned. Interior is comfy and back seats have great adjustability and fold down flat. Interior road/wind noise is on the average for the type of vehicle. Not a luxury vehicle in road noise performance, but way quieter than a WRX for example. Another plus is that it is built well and after 8 years does not even show a single rust spot on the body unique my previous Jeep that seemed to just react with water when wet. Excellent value and no complaints what so ever!"
"02 22, 2018",Gets me from A to B,"It being a used older vehicle it's hard to say what the previous owner has done to it. Right off the bat my exhaust was blown though. Then there is the whole 4WD thing... I've never once seen the 4WD or VSC light come on when I'm sure I could have used it. (in 30cm of snow) It's always felt as though it is in Front Wheel Drive, which is fine for my gas mileage but the traction of 4WD would be nice. I've heard sooo many raving reviews of the Toyota RAV4 for it's reliability. I hope that's what the future holds for us. For now it does the trick."
"02 20, 2018",Very reliable.,"Toyota reliability.  Gets good fuel economy, in town and on the hwy, despite having 4wd and the capabilities of a light duty SUV.  Works for me."
"02 12, 2018",Love this vehicle!,"The interior is comfortable and stylish.  I love the cargo space, especially that the second row seats fold down flat - sliding larger, heavier items in is so easy.  And I also love the hidden storage.  The one thing I don't like:  the spare tire cover is very difficult to remove.  But I haven't needed to remove it except when I bought new tires, and then the service man did it for me."
"02 12, 2018",Fantastic Car for the Exploring Family,"We bought this RAV4 new 8 years ago.  It has been a fantastic family car.  We've taken on numerous cross-country trip, up mountains and through forests.  It's never let us down and has keep us comfortable and happy.  

And all that enjoyment has been hassle free mechanically.  It's been well taken care of with oil changes and repeated alignments.

The only reason we are selling this car is because our children have left the nest.  We are down-sizing to a Leaf and would love for this car to find a family to keep it going on adventures."
"01 20, 2018",nice car .,"very economic. i had other car cars all this years , but this is the best car out of 8 cars cars in the last 32 years, very economic in gas ."
"01  9, 2018",An SUV that can get me anywhere I want to go.,I needed a SUV that could get in anyplace I wanted to go and in any type of weather.  Also I wanted leather heated seats.  This is the one for me.
"12 14, 2017",i love it,"After driving the Pilot, Ridgeline, Highlander, Santa Fe, and several others, the Sorento EX V6 was by far the best value for my money. It is solidly built, quiet, and smooth. The ride is like a Lexus and it handles almost like a sedan. It's just the right size, has very comfortable seats and is loaded with technology! On my first 500+ mile trip, I averaged 28.8 mpg. If you're looking for a new crossover in this segment, put this one on your short list to test drive."
"12 13, 2017",The roomiest compact SUV,"Despite not being the most Luxurious or powerful in the class it is incredibly useful vehicle.  It's trunk is huge, the folding seats are very easy to use, the cabin feels more like a large SUV with a lot of leg room on both rows. The AWD is working well and got me out from snow where many other SUVs got stuck (I guess it depends on tires as well though). In 7 years that I had this car I had 1 minor fix- very reliable."
"11 25, 2017","Solid mid size SUV,  always holds its resale valvu","Reliable , No random maintainence issues other than basics required . Limited editions are much nicer inside out."
"11 20, 2017",love this car!,I've owned this car for the past 4 years now and it has been my absolute favorite. Very reliable and a perfect family car.
"11 13, 2017",Dependable and Good on Gas Car I own now,I enjoy the power buttons and the leg room and the heated seats. I also like how you can set the radio stations just by doing them on the steering wheel. I also like how the spare tire is not in the trunk like other cars I have owned. It is great for those family members or friends who use walkers and they fit easily in the back in the car.
"10 12, 2017",A Rave for RAV4,"The best vehicle that I've ever owned.  Well-designed, comfortable, an outstanding performer.  The RAV4 is highly recommended."
"10  3, 2017",Most reliable and comfortable car I've owned,"This car is a great ride for a small SUV. It is larger than the current batch of newer ones and has tons of storage space. Is a very attractive vehicle with all the bells and whistles for this year of vehicle. Nice sporty style with additional options like the moon roof which is very easy to use, roof rails, exterior tire (which adds more space inside), cargo net and cargo cover. Has a very large cargo space compared to other small SUV's and has been a joy to own. I wish the newer Rav 4s had as much space as this one and the same high ground clearance."
"09 13, 2017",Excellent condition!!!,"Clean car, low mileage, priced much lower than the same cars available in the market.
already inspected. new tires. really clean condition car"
"09  5, 2017",Good car for a family,Solid car for a family. Great relaibilty. Good on off road surfaces. Overall great suv for a family.
"09  5, 2017","Durability, is the best description!","is a comfortable vehicle inside, beautiful design on the outside and definitely one of the most reliable brands."
"08 29, 2017",Super Commuter Car!,"For my commute? Perfect. For a long trip I would prefer my minivan. My only, and ONLY real complaint with this car is the ding-dang cup-holders are tucked almost under the radio. A 20oz cup has issues and most refillable water bottles do not fit. That said, I would buy this car again in a heartbeat.  It's been 7 years and aside from the routine stuff (oil, brake pads, wipers, battery) I've only had to replace a water pump.  That pretty much screams quality!"
"08  6, 2017",Incredibly practical. Great for all lifestyles.,"Practical car. Reliable, lots of space, decent on gas, good for all lifestyles. Love how the trunk opens up sideways."
"07  3, 2017",I love the style,"Nice small SUV that has enough cargo space for my needs.
It's really simple interiors design.
It's smooth ride also."
"06 22, 2017",So good I am sorry to have to sell it!,"Great comfy SUV. Dependable and fun to drive. 
Selling only because we need bigger people mover. Only negative is the back Up camera in this model is not great."
"06 19, 2017",great car,has lots of room for a smaller car handlers very well we love are's  good family car  rides smooth has a great sound system too
"05 29, 2017",Love this car,Only owned it a short time (used to have subaru forester) but love the way it handles nice quiet ride plenty of room inside. Would definitely recommend to car.
"05  7, 2017",Good family car,It's a very reliable car and worth the money. I have not had any problems with it even at 7 years of owning it.
"05  4, 2017",Best Small SUV I could find,"I like it. Aside from the issues I have had that were unique to the way the previous owner/dealership took care of it and repairs that were done, it's been great. It gets good gas mileage, and has plenty of room for me, my friends, and all of my adventure gear."
"04 11, 2017",Love my RAV4!!,"Fun to drive, ease of handling and reliability.  Been a loyal Toyota owner for over 20 years.  Will probably continue to be one for the next 20!!!"
"04  9, 2017",Good car for the price,"We purchased this vehicle for a good price, good shape, interior nice and runs pretty good so far as we have only had it for about 2 weeks but so far so good."
"04  5, 2017",Great Experience,One of the best experiences I have ever had at a dealership. I am looking forward to buying my truck from this dealership in the near future.
"04  2, 2017",Great car,"Great car, lots of power for small SUV. I recommend buying the V6 since you get the same mpg as the 4 cylinder. Nothing wrong with more power"
"03  6, 2017",Good choice for a used vehicle,"I purchased '10 Rav-4 a month ago, with 66k.
I'm very pleased so far this car.  It was a good purchase price from Center Subaru.  Time will tell"
"01  8, 2017",Great for what it is.,"Basic, reliable transportation.   Just bought it ... 51,000 miles.  Will find out.  The CD player seems temperamental.  There front window is noisy with a lot of whistling.  Otherwise, the car seems find.  I have also a Honda Accord which feels more solid.  Not so 'tinny' when I shut the door.  However, the RAV4 is just as comfortable."
"02 19, 2016",I've loved this car!,"I bought my RAV4 Limited in 2013 used with about 40k miles on it and it has 80,000 now. I'm currently in the market to trade up to a newer year 6-cylinder RAV4 with less mileage. The V6 is a lot of fun and unfortunately was discontinued for 2013. My gas mileage averaged 26 mpg in the summer and around 23 in the winter.

Driving is responsive and fun. The stereo in my car was upgraded to the 9-speaker JBL system which is GREAT. The bluetooth, satellite radio and phone systems are somewhat antiquated I felt compared to what you could get in other vehicles, but easy to learn and use and the sound quality was good.

4 wheel-drive performance was excellent - it has a button on the console to send drive power to all four wheels up to 25 mph to get you out of tough spots, and there is over 8 inches of ground clearance to take you somewhat off road if you need to be! In everyday driving, it's comfortable and reliable. Winter driving without 4x4 is also excellent.

There is also downhill assist and traction control - the downhill assist slows the engine WAY down when you're in the lowest gear so that you creep down hills slower than you ever could in first gear without braking constantly.

No problems at all with this car other than the recalls that have been stacking up!"
"09 22, 2015",Love my used 2010 Toyoto Rav4~,I was driving a 2013 Hyundai Elantra and I have RA and getting in and out really hurt my back. I can just turn around and sit in the seat of my Rav! I am a little disappointed in the gas mileage although it could be worse. I've only had it for a month and have taken in on a 1000 mile vaca and loved it even more. If I don't have any trouble out of it I will keep it till it literally falls apart. I love it so much I have to give her a name cause she is going to be so much a part of our family. car seat and booster seat for grandkids fit great and I feel safe with them in this vehicle.
"04 20, 2015",2010 RAV4,"Not a ""drivers"" car much like most Toyotas; rides like a boat with little road feed-back. Good brakes but you have to look outside to tell that they are working. Seat adjustments are for smaller folks - I am 5'11"" and have the seat ratcheted all the way back and I still feel cramped a bit (my wife loves it though). Great room in back with many space arrangement options, Dealer fixed a factory defect promptly with no hassle. Ride is floaty-rough; could use quieter tires that Michelins on now though they perform very well. Disappointed with 25 MPG (I get 29-31 with my Honda Accord). Upgrade sound is excellent and fault-free."
"06 17, 2014",Happy with my Toyota...,"My salesperson Jean Eddy Mores did an excellent job. I appreciate going out on the rain to check my Toyota :) He made sure our needs were met, he was very courtious and patient. I never leased a car before. This was so easy the sales person went with us all the way. Now he is a friend. Thank you for looking a masculine car for my husband...
Thank you"
"10  7, 2013",Great Ride and Comfort,Easy to maneuver; great rear view for backing up. More room inside than many of the co.mpetitors that are larger
"09 14, 2013",Very good SUV,"Great on gas, very spacious and good for long trips!. Mine came with third row seat which is awesome. So far no a single complain."
"08  2, 2013",Satisfied owner,"I have only driven this car a 1000 miles, but it starts when I put the key in. It was a good value. See me next year for a more informed review..."
"06 29, 2013",Wrong Car,"We ended up buying a 2012. I believe it was listed on cars.com by a Caddy dealer. I know it's buyer beware, but many of the prices for the RAV were way over for the time period and year we were looking for. Also, they tried to lure you to them with untrue promises. We were lucky and car runs fine."
"05 16, 2013",Wow what a great car,"We traded in a Corolla for the 2010 RAV4 and although we have only had it for a short time, we LOVE it. My husband rarely drove the Corolla but I can see he is going to be using the RAV alot. Being retired I was looking for a vehicle that would provide great comfort and thought the looks of the RAV were great. We got the limited and are very impressed so far with all the features. I am so happy I searched and found the car I have been wanting."
"05 10, 2013",Love my Toyota!,"I got great customer service and they really worked with me on the price. I had a budget to stay within and they worked with me to make that happen. I love owning a Toyota! It is very reliable to drive and looks good, which makes me look good!"
"03 22, 2013",Happy so far,Very happy with the vehicle so far. Had it less than a month so can't really comment on reallity so just gave a 4 star based on others reviews.
"03 12, 2013",Love the v6,Fourth RAV4 and so glad that I went for the v6 version w/ this one. I would not go back to a 4 cylinder. The problem is that for 2013 that's all you can get. I'd miss the power. This car has been super reliable and fun to drive. I can get anywhere (snow and mud) and enjoy the gas mileage.
