날짜,리뷰,평점
"charbojr, 09/28/20122010ToyotaRAV4Sport 4dr SUV 4WD (2.5L 4cyl 4A)","Have had this car for 2 years now and clocked 20k miles on it. From the outside the Sport package is quite handsome and aggressive. I don't even mind the tire on the door. Then you get in and drive it. The 4 cyl/4 speed gets the job done, but there is no joy. The handling is good for a Sport Ute but can be jarring and at times uncomfortable particularly on long trips. Tight cabin for a 6' tall guy. Interior bits are cheap. There's plenty of space for your stuff which is why we purchased the car, but coming from a '04 BMW 325i this car is a little disappointing and leaves me longing for days of yore. Toyota cheaped out on this car and it shows.",3.63 out of 5 stars
"rav4_sucks, 06/11/20122010ToyotaRAV4Sport 4dr SUV (3.5L 6cyl 5A)","I have had this car for a year and a half.
Toyota is the worst company to deal with.

After 7,000 miles the brakes made a garggiling sound and would not come to a complete stop.
I have my wife and kids in the car up in the mountains on a sunday afternoon.
Called Toyota and they wanted to charge me $500.00 to tow the car to a dealership.
Towing NOT covered under bumper to bumper.

Also the tires on the car only lasted 22,000 miles.

The radio will turn its self off for no reason.

All the dash lites go on and off then the car dies.

BIGGEST PIECE EVER!!!!!!!!!!!!!!!!!!!!!!!!

I would not [non-permissible content removed] with a Toyota driver manual.
(it wont get the job done)

MAJOR FAIL TOYOTA",1.63 out of 5 stars
"skipk2, 01/07/20122010ToyotaRAV44dr SUV (3.5L 6cyl 5A)","I now have 24,000 miles on my 2010 base RAV4 V6.
It's been a terrific experience.
it's very powerful and the mileage is good for a vehicle of it's size.
I get 28 mpg on road trips.
i love it's handling.
this is one of the best values around.
I intend to keep it for at least 250,000 miles.",4.88 out of 5 stars
"gmorgan3, 08/05/20112010ToyotaRAV4Sport 4dr SUV 4WD (2.5L 4cyl 4A)",Purchased my Rav4 in Oct 2010 enjoy the car very much. Easy to drive and did very well in the snow during winter. I get an average of 23 mpg. In June 2011 I was rear ended while I was at a stop and the person was going 50 MPH and the car did so well in the accident. I was very impressed how well it took the hit from the other car.,4.63 out of 5 stars
"arantslimj12, 07/11/20112010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","We bought the 2010 Rav4 base model 4 cylinder because we owned a 2003 4runner and wanted better gas milage. the Rav4 boasted 21 to 27 miles per gallon. Yeah right! More like 21 all the time! Also the ""4 wheel drive"" isnt really 4 wheel drive. It is only active until you reach 25 mile per hour! Then it's just a two wheel drive. And did i mention the suspension? It was sooooo stiff you get beat up in the drivers set day in and day out. Over all i was very disappointed and paid wayyyy too much for this thing! it just felt so cheap! Well we traded it in this week for a 2009 Subaru Forester!",1.75 out of 5 stars
"gar7, 06/21/20112010ToyotaRAV4Sport 4dr SUV (2.5L 4cyl 4A)","Check engine light issue, will be covered by warranty.
Excellent ride and handling for the SPORT model !
Does exactly what it says it will !!
Handles corners well, hugs the road and toes not tilt in the curves.",4.5 out of 5 stars
"hysteria, 05/12/20112010ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)","My wife and I both love this vehicle.
We've taken it on 2 very long trips and it perfoms great.
We get over 26 mpg.
Our only gripe is that the bluetooth instructions in the owner's manual are complete garbage! I've had to take it to the dealer 3 times to get the bluetooth working.
The rep at the dealership (who told me she had to ""go to school to learn how to program phones for Toyota's bluetooth technology) had major problems trying to get our phones synched up.
It took her over 40 minutes to get it working.
She also stated NOT to follow the owner's manual instructions. What should be an easy application made difficult by Toyota's good for nothing instructions.",4.63 out of 5 stars
"lindseym1, 01/04/20112010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","I got my 2010 RAV4 this September so it's only been 3 months but so far, so good. I traded in my 2004 RAV4, which I did enjoy driving as well. The 2010 is much roomier. I love how the backseat folds down so easily (I had to take the seats out in the '04), there is a lot of room in the back, and the drive itself is great- smooth and not a lot of road noise. My main complaints are the cupholders and lack of change drawer! I drive 50/50 highway/city and get ~22mpg. I wish this could be higher but I have the V6, 4 wheel drive so I guess that comes with the territory!",4.75 out of 5 stars
"jtreeclimber, 01/04/20112010ToyotaRAV44dr SUV 4WD (3.5L 6cyl 5A)","We are a toyota family, going back to 1966 and my dad's 67 Corona. I couldn't decide between the forester, rav4 and the honda crv. What convinced me to get my rav4 was that it was the only one with a v6. We just drove our rav4 to Palm Springs, California and back, from Tacoma. We had 4 people and at least 500 pounds of climbing gear both inside the car, and on top of the rack. We averaged around 21 to 23 miles a gallon to LA and back. The car has a ton of power, and can cruise at 80 all day, even uphill and loaded down. With nokian happelita studded tires it is a tiger in the snow. 6000 on the odometer and perfect so far. You can sleep stretched out in the back. Best car I've ever had.",4.75 out of 5 stars
"bob t, 12/06/20102010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","We bought our RAV-4 at the beginning of the year. We got the RAV when the price dropped to the same level as the Forester. The stock tires were fine the end of the first winter. I bought some Blizzak DM-V1s for this winter as the OEMs have poor ratings for winter driving. No problems with combined mileage at 27+ mpg. The vehicle rides a little rough and the steering, brakes, and accelerator are a bit sensitive.",4.63 out of 5 stars
"J Donohoe, 12/03/20102010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","I purchased my RAV4 after looking at the Honda CRV, Acura RDX, Kia, Mazda and Hyndai small SUVs. I was previously driving a 2007 BMW X3. I was able to get an excellent price on my purchase after using Edmunds dealer quote program, sales price was even $1500 lower than average displayed. I have driven my RAV4 for 600 miles and am already averaging 23 MPG.",4 out of 5 stars
"jacksonholerski, 11/14/20102010ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)",I bought this vehicle after months of researching it and other vehicles. I can't believe I never came across anyone talking about the navigation system which does not allow you to use it when the vehicle is moving! I couldn't understand why the nav would only work sometimes and then on a road trip 2 days ago I finally stopped at an out of state dealer that told me why. It is so dangerous to stop to use the navigation system! I never would have bought either the car or the car with nav already in it. I feel cheated and betrayed and likely sell this car and demand a rebate from Toyota.,3.13 out of 5 stars
"rafi, 11/12/20102010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","Best cargo space in its class, lots of useful compartments. Was skeptical of the spare on back and swinging back door - now I love those features, make the car even more practical. Leg room in the second row is impressive. Acceleration is adequate. Gas mileage great if you drive carefully and don't unnecessarily rev up the engine; on a highway when driving not more than 65mph you can easily get 30 mpg. I own mine for 2 months now, I do 50/50 city/highway mix and my average mpg is 28.2, weather and driving conditions were perfect, though - during winter and sweltering summer days I expect the average mpg drop a little, perhaps to 27 not lower. Oil change every 5K instead 3K - like it too.",5 out of 5 stars
"DonnaHappy, 11/09/20102010ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","I couldn't be more happier with my Rav4.  At the price point of the Base Rav4, I feel I got a reliable vehicle with lots of great features for my money.  Really like the side opening rear door, full size spare tire on the back, ease and location of controls, nice radio with XM Satellite, attractive exterior and lots of cargo space.  Also, quiet motor, no road noise and a smooth ride.  I have the extra value package which was worth every penny.  My Rav4 is a blast to drive and so far is trouble free.  I'm a satisfied customer and very happy with my decision to purchase the Rav4.",4.75 out of 5 stars
"smokey10, 10/29/20102010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","I bought my RAV4 7 months ago and I've never liked a car better than my new one. Ride is smooth enough and all these things I read on reviews about vibrating and stuff, never experienced it except when I'm driving on  rough roads and unpaved ones, quite expected I would think. My car is the limited model and the convenience of the features really fits me well. The only thing I don't like about my car is how much I paid for it. Gas mileage is very reasonable since I'm primarily the only passenger plus my little dog, we're so happy to go out of town occasionally on weekends with comfort. I agree it's no escalade nor a Land Rover, but it certainly fits most responsible,low profile people like me",4.38 out of 5 stars
"Rav4_Lover, 10/22/20102010ToyotaRAV44dr SUV (2.5L 4cyl 4A)","Being upgraded from 2005 Nissan Altima (Sedan). This is my first ever new car in my life. I love my Rav4 for the roominess, comfort & great performance. Fun & Steady driving. My family loves it. I4cyl has great power in it compared to CR-V.  Had to return the Sport model, as the sport tuned suspension did not give a comfortable ride for the rear seated passengers.",4.75 out of 5 stars
"Jon Nealis, 02/11/20232011ToyotaRAV4Limited 4dr SUV (2.5L 4cyl 4A)","I bought my Rav 4 with 150000 miles on it. I had a Toyota Corolla years ago and I couldn’t kill it. It was a great car. So when I purchased the Rav 4 I was confident that it would be extremely reliable. I’ve read about the excessive oil burning of the 2.4, but this is the 2.5. It was supposed to be the improved engine. I’ve had it for a year and have put so much oil into this thing. The records show on car fax that the oil was changed regularly by a dealership from previous owner. I add a quart and a half of oil every 350 miles. No engine lights and it hasn’t left me stranded, but it is very frustrating and expensive. I’m changing spark plugs regularly as well. They get fouled up with all of the excessive blow by from oil burn. I love the way it handles in snow. It’s great for that, but my next purchase will more than likely be a Honda.",3 out of 5 stars
"Zak, 09/27/20222011ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)",So desapointed when I find out the left side door start peeling on my 2011 rav4.,2 out of 5 stars
"Adam , 07/29/20222011ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","I wish it would cruise a little better but other than that I love it. 
  It seems to get good gas mileage.",4 out of 5 stars
"E. Hendres, 08/24/2017updated03/04/20222011ToyotaRAV4Sport 4dr SUV (3.5L 6cyl 5A)","I've had my 2011 RAV4 sport since March 2011 and I have had no major repair  over $2,000 and the two that I did were wear and tear and no major breakdowns.  I've kept it well-maintained.   All services, including oil change, filter change, etc. are done on time.  I only have 78500 miles on it.  I've pushed it to its limits when travelling.  The only thing with this car is, it's noisy.  You're not well protected from the noisy road.  Besides that, it's been reliable and handles well in snow and rain.  I recently changed my 4 tires but that was after 5 1/2 years.  So, it is a car that I recommend.  It’s still reliable after 9 years.",5 out of 5 stars
"Sharon Sloan, 12/03/20212011ToyotaRAV4Limited 4dr SUV 4WD (2.5L 4cyl 4A)",This is a great car. I do love it!!!!,5 out of 5 stars
"Matthew, 09/07/2017updated09/10/20212011ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","We bought this car with about 85,000 miles and now it has over 170,000! It had one owner and was babied. It still runs like brand new and I have only had to pay for scheduled maintenance, new batteries, and a few minor recalls which were free of charge, 4 wheel bearings, both coil springs, and breaks. The MPG is exactly what Toyota puts out, and that's with my heavy foot. When going downhill the car will sometimes look for a lower gear, but nothing serious. The V6 engine is unbelievably amazing, it takes off fast! I absolutely love this car and it handles back roads exceptionally! When it finally dies on my family I will not hesitate to buy another!",5 out of 5 stars
"phil, 09/01/20212011ToyotaRAV4Sport 4dr SUV 4WD (2.5L 4cyl 4A)","this is a wonderful reliable vehicle, have over 136000 miles mon it and have had no issues with it, it is a solid well built vehicle and i would continue buying these type of vehicles",5 out of 5 stars
"PianoTech, 08/29/20212011ToyotaRAV4Limited 4dr SUV (3.5L 6cyl 5A)","Toyota makes reliable cars, but nothing is perfect.  I've had to replace axles, struts, replace valve cover gaskets, and the usual wear items.  When a vehicle gets to 120k and over, you have to expect such things.  But compared to all the other smaller SUV's, these have the least problems overall.  
These Rav4's are my wife's choice, and she likes them a lot.  And believe me, I'd hear about it if she didn't.  And yes, I like them too.",4 out of 5 stars
"Doug Dougerson, 07/24/20212011ToyotaRAV4Limited 4dr SUV 4WD (3.5L 6cyl 5A)","Purchased in December, 2020 with ~56k on it. V6 has great acceleration.  I'm averaging about 22 MPG in mixed highway and city driving. Average 24 MPG during long highway drives. Only annoyance is the rearview camera isn't working, this seems to be a problem for this model year. The wiring inside the back door needs to be repaired. Other than that, very happy with it. TONS of space inside when using the space under the rear floor.Technology3 out of 5 starsPerformance5 out of 5 starsInterior5 out of 5 starsComfort4 out of 5 starsReliability4 out of 5 starsValue5 out of 5 stars",4 out of 5 stars
"Mule, 03/24/20212011ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","Have about 95K miles on it. Bought in 2013 with 17K miles on it. During ownership had to change out the water pump, AC condenser and O2 sensor. Still super happy with it and would recommend.",4 out of 5 stars
"Maggie, 09/23/20202011ToyotaRAV4Limited 4dr SUV (3.5L 6cyl 5A)","It’s an SUV w/a roof rack, trailer hitch, tinted windows. Breaks were done 6 months ago, tires are good!",5 out of 5 stars
"Janson, 11/23/20192011ToyotaRAV44dr SUV 4WD (2.5L 4cyl 4A)","This 2011 Toyota RAV4 we bought used in 2012 because a young man who bought it new lost his job and couldn't keep up the payments.  We saw the vehicle while searching online for a good used vehicle, went to see it and bought it after we drove it.  It has been the most trouble free vehicle you can imagine, second only to our 2002 RAV4 which is still running great.  Toyotas rule!",5 out of 5 stars
"TDees, 10/25/20192011ToyotaRAV4Sport 4dr SUV (2.5L 4cyl 4A)","Wow...I love my Rav, even with the old style swing out rear door, its a cool factor and I have the space under the rear floor that is perfect for groceries! Very dependable and nimble around town vehicle, there's just not much to not like about it. I purchased mine used with about 52K miles from the second owner who I knew. They were purchasing a new 2017. 

It was purchased new and serviced from our local Toyota Dealer exclusively and they had all the service records from day/mile one. Over the now eight year history it has never missed a service interval. I purchased the vehicle in October 2016 (cash) and have only replaced the battery, had a break job and just put on new tires at this last service interval at 89K miles. That's it folks...nothing else has been done to it and it gets around 26 mpg consistently. At eight years old it has a few battle scars...what eight year old car doesn't have shopping cart or door dings?! 

When my friend gets ready to trade that 2017...I told him to call me!",5 out of 5 stars
